experiment,user_id,user_name,algorithm,found_solution,runtime_ms,constraint_satisfaction_rate,calorie_error,protein_error,diversity_score,preference_score,balance_score,total_calories,total_protein,success,beam_width,strictness,num_allergens,diet_type,dataset_size
main_comparison,1,Alex,Baseline,True,0.11134147644042969,100.0,146.0,0.0,61.333333333333336,33.33333333333333,69.7742939737603,1654.0,121.0,True,,,,,
main_comparison,1,Alex,Oracle,True,111.47928237915039,100.0,1.0,0.0,30.666666666666664,66.66666666666666,60.52188552188552,1799.0,129.0,False,,,,,
main_comparison,1,Alex,CSP,True,1.973867416381836,100.0,13.0,0.0,39.42857142857143,33.33333333333333,75.0,1787.0,126.0,False,,,,,
main_comparison,2,Sarah,Baseline,True,0.08511543273925781,100.0,25.0,0.0,1.3333333333333286,0.0,46.3157894736842,1575.0,78.0,False,,,,,
main_comparison,2,Sarah,Oracle,True,9.967803955078125,100.0,15.0,0.0,35.69230769230769,66.66666666666666,75.29708853238265,1585.0,73.0,False,,,,,
main_comparison,2,Sarah,CSP,True,0.48828125,100.0,15.0,0.0,33.69230769230769,33.33333333333333,92.16417910447761,1615.0,88.0,False,,,,,
main_comparison,3,Mike,Baseline,True,0.18596649169921875,100.0,262.0,0.0,3.3333333333333286,0.0,9.931170108161254,1638.0,120.0,False,,,,,
main_comparison,3,Mike,Oracle,True,1.5673637390136719,100.0,94.0,0.0,3.3333333333333286,0.0,0.0,1806.0,103.0,False,,,,,
main_comparison,3,Mike,CSP,True,0.3864765167236328,100.0,94.0,0.0,3.3333333333333286,0.0,0.0,1806.0,103.0,False,,,,,
main_comparison,4,Emma,Baseline,True,0.07605552673339844,100.0,288.0,0.0,0.0,0.0,53.84615384615385,1212.0,94.0,False,,,,,
main_comparison,4,Emma,Oracle,True,35.96782684326172,100.0,8.0,0.0,60.0,66.66666666666666,100.0,1492.0,88.0,True,,,,,
main_comparison,4,Emma,CSP,True,0.9646415710449219,100.0,1.0,0.0,32.666666666666664,0.0,64.48697501329082,1499.0,118.0,False,,,,,
